0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 
-2.123928e-003 2.898383e-003 -1.094473e-003 -4.247830e-001 5.796682e-001 -2.188849e-001 0.000000e+000 
-8.495246e-003 1.159198e-002 -4.376070e-003 -8.494445e-001 1.158930e+000 -4.372920e-001 0.000000e+000 
-1.911048e-002 2.606914e-002 -9.831114e-003 -1.273390e+000 1.735794e+000 -6.528841e-001 0.000000e+000 
-3.395588e-002 4.628386e-002 -1.740559e-002 -1.695085e+000 2.305125e+000 -8.596339e-001 0.000000e+000 
-5.299531e-002 7.211510e-002 -2.695756e-002 -2.111667e+000 2.857326e+000 -1.046302e+000 0.000000e+000 
-7.615768e-002 1.033247e-001 -3.820790e-002 -2.518749e+000 3.377672e+000 -1.195690e+000 0.000000e+000 
-1.033198e-001 1.394990e-001 -5.067366e-002 -2.910647e+000 3.847010e+000 -1.285612e+000 0.000000e+000 
-1.342989e-001 1.800234e-001 -6.364062e-002 -3.280969e+000 4.243666e+000 -1.291321e+000 0.000000e+000 
-1.688468e-001 2.240601e-001 -7.614160e-002 -3.623644e+000 4.546825e+000 -1.189691e+000 0.000000e+000 
-2.066639e-001 2.705933e-001 -8.701909e-002 -3.934098e+000 4.740500e+000 -9.641427e-001 0.000000e+000 
-2.474127e-001 3.184741e-001 -9.498587e-002 -4.209739e+000 4.815312e+000 -6.067890e-001 0.000000e+000 
-2.907402e-001 3.664939e-001 -9.871781e-002 -4.449904e+000 4.768715e+000 -1.186808e-001 0.000000e+000 
-3.362943e-001 4.134514e-001 -9.694920e-002 -4.655189e+000 4.603305e+000 4.921210e-001 0.000000e+000 
-3.837310e-001 4.581821e-001 -8.850826e-002 -4.826530e+000 4.324338e+000 1.213386e+000 0.000000e+000 
-4.327132e-001 4.995786e-001 -7.236035e-002 -4.964326e+000 3.937605e+000 2.030596e+000 0.000000e+000 
-4.829041e-001 5.365940e-001 -4.763327e-002 -5.068010e+000 3.448569e+000 2.927259e+000 0.000000e+000 
-5.339540e-001 5.682258e-001 -1.361557e-002 -5.135761e+000 2.862124e+000 3.883876e+000 0.000000e+000 
-5.854903e-001 5.935294e-001 3.016246e-002 -5.164805e+000 2.183853e+000 4.874937e+000 0.000000e+000 
-6.371100e-001 6.116217e-001 8.388515e-002 -5.151805e+000 1.421237e+000 5.866354e+000 0.000000e+000 
-6.883765e-001 6.217107e-001 1.473395e-001 -5.093921e+000 5.859079e-001 6.812086e+000 0.000000e+000 
-7.388354e-001 6.231547e-001 2.197845e-001 -4.989922e+000 -3.051803e-001 7.654369e+000 0.000000e+000 
-7.880271e-001 6.154998e-001 2.998556e-001 -4.841479e+000 -1.229034e+000 8.325978e+000 0.000000e+000 
-8.355321e-001 5.985496e-001 3.855151e-001 -4.653709e+000 -2.159386e+000 8.760889e+000 0.000000e+000 
